"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"OTHERS","2023-02-27","1484.31","1488.26","1441.66","1478.39","2.11 %","44,558,805.80","-"
"OTHERS","2023-02-26","1452.01","1477.03","1424.57","1466.59","0.21 %","59,086,862.10","-"
"OTHERS","2023-02-23","1493.95","1498.27","1457.81","1463.55","-2.03 %","45,266,041.70","-"
"OTHERS","2023-02-22","1477.1","1497.08","1470.76","1493.95","1.93 %","44,172,576.30","-"
"OTHERS","2023-02-20","1487.79","1498.07","1463.81","1465.64","-1.49 %","37,847,396.80","-"
"OTHERS","2023-02-16","1488.23","1504.25","1471.99","1487.79","-0.03 %","41,582,520.20","-"
"OTHERS","2023-02-15","1503.26","1515.23","1486.07","1488.23","-1.00 %","44,806,540.50","-"
"OTHERS","2023-02-14","1513.19","1529.79","1500.19","1503.26","-0.66 %","32,648,057.90","-"
"OTHERS","2023-02-12","1551.82","1551.82","1506.63","1513.19","-2.40 %","78,347,046.80","-"
"OTHERS","2023-02-09","1546.6","1564.76","1537.67","1550.36","0.24 %","55,355,531.60","-"
"OTHERS","2023-02-08","1532.74","1584.89","1532.74","1546.6","0.50 %","149,654,519.50","-"
"OTHERS","2023-02-07","1494.83","1538.85","1494.83","1538.85","2.94 %","68,120,219.30","-"
"OTHERS","2023-02-06","1491.51","1506.37","1482.54","1494.83","0.22 %","40,884,248.80","-"
"OTHERS","2023-02-05","1494.08","1515.08","1481.11","1491.51","-0.17 %","53,084,831.00","-"
"OTHERS","2023-02-02","1522.62","1534.44","1487.95","1494.08","-0.70 %","40,161,002.30","-"
"OTHERS","2023-02-01","1476.01","1543.79","1468.66","1504.57","0.70 %","67,403,643.30","-"
"OTHERS","2023-01-31","1519.34","1525.22","1491.85","1494.06","-0.60 %","56,482,596.20","-"
"OTHERS","2023-01-30","1536.32","1564.19","1501.32","1503.13","-2.16 %","103,439,154.20","-"
"OTHERS","2023-01-29","1577.55","1577.55","1530.1","1536.32","-1.70 %","66,027,864.70","-"
